Day,RSI,Stochastic Oscillator,Williams,MACD,Price Rate Of Change,On Balance Volume,Close,Buy/Sell
52,27.6177340905,35.9597622643,-64.0402377357,-7.53496630927,0.0123825156836,98394448586.6,439.290001,Buy
55,48.7459860265,73.5125599438,-26.4874400562,-5.18069246382,0.0181881036139,98791272360.5,460.709984,Sell
58,62.0728032951,84.4725061369,-15.5274938631,-2.09059001633,0.0175110693796,99174881510.8,456.769974,Sell
61,66.4940442583,84.2737782244,-15.7262217756,0.416137648492,0.00713790595616,99531289137.3,443.860012,Sell
64,59.9822023737,75.7215624242,-24.2784375758,1.34383140965,-0.00523646871271,99157166302.2,433.26001,Buy
67,61.1977149546,71.2733571704,-28.7266428296,1.67850960867,0.00135424923812,99524079438.6,441.349995,Buy
70,63.2370920323,61.5519448093,-38.4480551907,1.85179239723,0.00195723478068,99867503266.4,441.44001,Buy
73,68.6255652464,64.2763936531,-35.7236063469,2.10637286159,0.00499481320542,1.00189699082e+11,449.730026,Sell
76,71.8576777415,68.5660222898,-31.4339777102,2.42372540942,0.00326124514224,1.00495325382e+11,445.110001,Sell
79,65.1378411862,61.2366448855,-38.7633551145,2.26137190232,-0.00253413822759,1.00195240619e+11,438.889992,Sell
82,53.8389316244,43.9717811225,-56.0282188775,1.66880100429,-0.00453440277872,99909246639.4,435.959991,Sell
85,42.5241455508,26.4254330852,-73.5745669148,0.785111295846,-0.00565066136846,99646495829.1,431.769989,Sell
88,26.8547669927,17.8200533073,-82.1799466927,-0.529684691836,-0.0124104165448,99391013867.3,413.500011,Sell
91,15.8197094273,12.813716771,-87.186283229,-2.57900182612,-0.0192124484322,99120914541.3,398.069992,Buy
94,11.4603635001,12.2331629142,-87.7668370858,-4.76301172468,-0.0148534426713,98842243424.5,409.219994,Buy
97,12.5446142716,15.1199844922,-84.8800155078,-5.62515386392,0.000302945241908,98941629861.8,417.419994,Buy
100,15.7755778771,18.9055046572,-81.0944953428,-5.57320957961,0.000655869817057,99029091666.9,420.730003,Buy
103,28.1620824121,37.1417686439,-62.8582313561,-4.7528057199,0.00514604234063,99284520297.4,427.44001,Buy
106,41.0785238996,72.994184486,-27.005815514,-3.5141334161,0.00608608848165,99517350929.4,431.760002,Sell
109,41.2390714233,68.2195124368,-31.7804875632,-2.47195357266,-0.000171868851784,99589881023.5,418.98999,Buy
112,59.0750513039,78.4224211117,-21.5775788883,-1.21057637834,0.0101667033118,99826282868.9,440.990013,Buy
115,73.4670899048,82.6766280197,-17.3233719803,0.546688988572,0.0143360160391,1.0005186217e+11,452.529984,Buy
118,82.8936268129,88.6117250937,-11.3882749063,2.6757432074,0.0176104792118,1.00271643343e+11,469.449997,Sell
121,87.1092514927,89.3957261443,-10.6042738557,4.75836491824,0.0129860889011,1.00494215835e+11,461.010017,Buy
124,90.4929363124,89.8884152508,-10.1115847492,6.3261965273,0.0141523739502,1.00730210522e+11,489.569977,Buy
127,94.0459133182,91.6338536377,-8.36614636235,8.72967469832,0.0263903109892,1.01028193368e+11,502.330002,Buy
130,95.6919662693,90.5103540306,-9.48964596945,11.1986016344,0.021181426428,1.01330678581e+11,502.360016,Buy
133,96.5412629732,90.5135321036,-9.48646789643,12.9135600421,0.0146915117579,1.01609298107e+11,502.970016,Sell
136,96.7828031057,88.4108068322,-11.5891931678,13.3149424053,0.00436813635441,1.01880736024e+11,491.700012,Buy
139,97.0271080301,84.6427306486,-15.3572693514,12.7509146777,0.00396211532615,1.02138525691e+11,498.690025,Sell
142,97.4670030371,82.3751383548,-17.6248616452,12.0469372386,0.0073854968041,1.0238982317e+11,506.169983,Sell
145,82.2257632529,54.547896715,-45.452103285,10.6279462637,-0.00654307804549,1.02271636087e+11,472.690018,Sell
148,58.2539958043,18.4999674515,-81.5000325485,7.75573948567,-0.0161529547909,1.01957605437e+11,455.320007,Buy
151,51.7005173606,15.2796405736,-84.7203594264,4.90830266833,-0.00580083655733,1.0163341915e+11,467.410004,Buy
154,57.5164497779,27.0257823514,-72.9742176486,3.4509309446,0.00579370752672,1.01983587311e+11,481.530006,Buy
157,58.6484805049,32.9795586662,-67.0204413338,2.70355663622,0.00145363653597,1.02095500347e+11,476.749977,Buy
160,63.0707958294,59.7026763135,-40.2973236865,2.39510605135,0.00390394076299,1.02384977081e+11,483.409996,Sell
163,64.3373933071,64.4181672912,-35.5818327088,2.21815138119,0.0012693606514,1.0247849155e+11,480.93998,Buy
166,69.7002299203,68.0962574422,-31.9037425578,2.21766089843,0.00419743416316,1.02735912411e+11,492.809998,Buy
169,77.5337516705,75.2933299435,-24.7066700565,2.67718459421,0.00785949745503,1.02980459081e+11,501.110001,Buy
172,85.4011869584,84.4275125521,-15.5724874479,3.68329960265,0.0128832172039,1.03217218638e+11,521.360023,Buy
175,90.6915680656,88.5924922427,-11.4075077573,5.36322244321,0.016680074909,1.03472587042e+11,531.910011,Sell
178,92.8269190446,84.8517583776,-15.1482416224,7.04410515018,0.0110530078849,1.03745628211e+11,516.680023,Buy
181,93.9880335682,85.8699296514,-14.1300703486,8.04744038439,0.00734420105347,1.04026681191e+11,520.030006,Buy
184,94.8803655662,86.6229191829,-13.3770808171,8.51839185121,0.00631024800851,1.04284699389e+11,520.920013,Sell
187,94.0127515049,83.4352615898,-16.5647384102,8.24257746968,0.00132130484363,1.04361870452e+11,519.050011,Buy
190,94.7384262736,81.005759813,-18.994240187,7.73569359521,0.00380860282336,1.0458371568e+11,528.160019,Sell
193,95.0392528307,75.0269402825,-24.9730597175,7.15363517579,0.00164297381878,1.04800151568e+11,519.549995,Buy
196,92.8117989773,69.0709446355,-30.9290553645,6.29608270755,0.000175702196699,1.04866824121e+11,519.799988,Buy
199,95.0783527891,79.2854715608,-20.7145284392,5.8813259144,0.00828610464989,1.05073504416e+11,545.959999,Buy
202,97.2914881298,84.4482882613,-15.5517117387,6.76312032978,0.0175545148858,1.05302110724e+11,566.319984,Sell
205,98.1978470582,85.7086880704,-14.2913119296,8.35170716708,0.015657906613,1.05552133487e+11,560.019974,Buy
208,98.6252821033,87.5005885061,-12.4994114939,9.71623669566,0.0114857259748,1.05802127642e+11,561.359978,Sell
211,98.7877751084,86.9081044762,-13.0918955238,10.2682812958,0.00514420269645,1.06046294882e+11,557.500023,Sell
214,96.0236551234,82.7687981063,-17.2312018937,9.89511527539,0.000168165278888,1.06125233475e+11,544.459991,Buy
217,96.5699523711,82.585080473,-17.414919527,9.25152611407,0.00633029699891,1.06214507517e+11,567.669975,Sell
220,96.8532406116,76.1854501887,-23.8145498113,8.7366183278,0.00293360931277,1.06298351926e+11,554.519981,Sell
223,87.1370576307,61.0760277366,-38.9239722634,7.7888879995,-0.00164527211721,1.06223303893e+11,540.980019,Sell
226,71.1398368004,37.8417666921,-62.1582333079,6.13708624218,-0.00523774596175,1.05986996467e+11,543.460022,Sell
229,53.8028186315,22.1456454423,-77.8543545577,4.13180503092,-0.00739616347846,1.05754245513e+11,535.730019,Buy
232,58.9097598031,34.4000178304,-65.5999821696,2.8165720447,0.00296449899039,1.05834684413e+11,554.250015,Sell
235,57.5679180858,33.4699974911,-66.5300025089,1.98718355947,-0.000402982551059,1.05917452612e+11,551.509979,Sell
